longitude,latitude
49.762,62.534
50.686,63.725
51.61,64.905
52.823,66.442
54.448,68.479
56.407,70.972
58.578,73.755
60.827,76.661
63.031,79.533
65.168,82.372
67.228,85.143
69.243,87.893
71.246,90.665
73.406,93.693
75.71,96.988
78.004,100.361
80.33,103.968
82.601,107.652
84.727,111.259
86.876,115.044
89.024,118.807
91.173,122.669
93.243,126.499
95.191,130.172
97.162,133.946
98.998,137.564
100.746,141.093
102.36,144.51
103.863,147.839
105.21,151.011
106.513,154.14
107.793,157.245
108.962,160.173
110.041,162.956
111.054,165.628
112.023,168.188
112.902,170.615
113.748,173.053
114.26,174.867
