longitude,latitude
97.874,143.275
97.128,141.905
96.538,140.781
95.804,139.412
94.924,137.798
93.878,135.839
92.698,133.668
91.451,131.375
90.126,128.959
88.735,126.443
87.343,123.95
85.985,121.512
84.649,119.118
83.403,116.836
82.234,114.61
81.232,112.395
80.497,110.19
80.096,108.053
80.085,105.882
80.553,103.678
81.577,101.463
83.158,99.403
85.217,97.556
87.655,95.953
90.126,94.55
92.642,93.17
95.403,91.667
98.642,89.908
102.316,87.949
106.29,85.811
110.353,83.563
114.494,81.236
118.736,78.843
123.255,76.349
127.686,73.911
132.617,71.206
137.315,68.601
142.358,65.796
147.378,63.058
152.109,60.464
156.774,57.892
161.282,55.41
165.824,52.905
169.887,50.645
